"","all_trips_v2$usertype","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",56.1851948703182
"2","member","Sunday",15.4029018397246
"3","casual","Monday",54.4998893147697
"4","member","Monday",14.2492838615458
"5","casual","Tuesday",57.4132838907375
"6","member","Tuesday",14.1525919890012
"7","casual","Wednesday",60.3340663361004
"8","member","Wednesday",13.8098447496714
"9","casual","Thursday",59.9511225979561
"10","member","Thursday",13.7797918527874
"11","casual","Friday",60.1756106520501
"12","member","Friday",13.8974776022724
"13","casual","Saturday",54.0611103901514
"14","member","Saturday",16.3027050838722
